name,company,category,calories,protein_g,carbs_g,fat_g,saturated_fat_g,sugar_g,sodium_mg,base_unit,default_serving_weight_grams
"Tofu, firm Variation 478",Elite,Protein,136.6,14.2,2.7,8.3,1.2,0.0,13.3,100g,100.0
"Broccoli, cooked Variation 479",Carmel,Vegetables,37.1,2.5,7.6,0.4,0.1,1.5,43.5,100g,100.0
"Potato, cooked Variation 480",Sugat,Vegetables,94.7,2.1,21.9,0.1,0.0,1.0,5.4,100g,150.0
Flaxseeds Variation 481,Yitzhar,Fats,524.0,18.0,28.4,41.4,3.6,1.5,29.4,100g,15.0
Mustard Variation 482,Berman,Spreads,60.5,4.0,4.9,3.0,0.2,0.8,1009.1,100g,10.0
Grapes Variation 483,Starkist,Fruits,72.3,0.7,19.0,0.2,0.1,16.2,2.1,100g,100.0
Chia Seeds Variation 484,Gad,Fats,449.3,15.3,38.9,28.4,3.1,0.0,14.8,100g,15.0
Cashews (Raw) Variation 485,Sugat,Fats,568.8,18.7,31.1,45.1,8.0,6.1,12.3,100g,20.0
"Kidney Beans, cooked Variation 486",Osem,Grains,137.4,9.4,24.7,0.5,0.1,0.3,2.2,100g,150.0
Almond Milk (Unsweetened) Variation 487,Shamir,Dairy,12.6,0.4,0.3,1.1,0.1,0.0,64.8,100ml,200.0
"Tofu, firm Variation 488",Elite,Protein,146.6,15.3,2.9,8.9,1.3,0.0,14.3,100g,100.0
Bell Pepper (Red) Variation 489,Shamir,Vegetables,31.8,1.0,6.1,0.3,0.0,4.3,4.1,100g,100.0
Oat Milk Variation 490,Yotvata,Dairy,42.5,0.3,6.7,1.5,0.2,3.2,44.4,100ml,200.0
Bell Pepper (Red) Variation 491,Elite,Vegetables,33.8,1.1,6.5,0.3,0.0,4.6,4.4,100g,100.0
Flaxseeds Variation 492,Skippy,Fats,495.6,17.0,26.8,39.2,3.4,1.4,27.8,100g,15.0
Grapes Variation 493,Carmel,Fruits,75.7,0.8,19.9,0.2,0.1,17.0,2.2,100g,100.0
Mustard Variation 494,B&D,Spreads,65.8,4.4,5.3,3.3,0.2,0.9,1096.7,100g,10.0
"Black Beans, cooked Variation 495",Allin,Grains,138.4,9.3,24.8,0.5,0.1,0.3,1.0,100g,150.0
"Tofu, firm Variation 496",Super Effect,Protein,141.2,14.7,2.7,8.5,1.3,0.0,13.7,100g,100.0
Orange Variation 497,Shkediya,Fruits,48.4,0.9,12.1,0.1,0.0,9.7,0.0,100g,130.0
"Broccoli, cooked Variation 498",Sugat,Vegetables,32.4,2.2,6.7,0.4,0.1,1.3,38.0,100g,100.0
Carrot Variation 499,Osem,Vegetables,39.1,0.9,9.2,0.2,0.0,4.5,65.9,100g,50.0
